,0
241,"Shell: Viscose 82%, Linen 18% Pocket lining: Cotton 100%"
242,"Shell: Lyocell 81%, Linen 19% Lining: Polyester 100%"
243,"Cotton 55%, Polyester 37%, Elastane 8%"
244,Lining: Polyester 100% Shell: Polyester 100%
245,"Cotton 95%, Elastane 5%"
246,"Cotton 65%, Polyester 30%, Elastane 5%"
247,"Polyester 61%, Viscose 32%, Elastane 7%"
248,"Shell: Viscose 50%, Polyester 50% Pocket lining: Cotton 100%"
249,Lining: Polyester 100% Shell: Polyester 100%
250,"Viscose 86%, Elastane 14%"
251,"Lining: Polyester 100% Shell: Lyocell 80%, Linen 20%"
252,"Cotton 95%, Elastane 4%, Elasterell-P 1%"
253,"Lyocell 57%, Silk 43%"
254,"Cotton 99%, Elastane 1%"
255,"Polyester 62%, Viscose 31%, Elastane 7%"
256,Cotton 100%
257,Polyester 100%
258,"Cotton 93%, Elastane 4%, Viscose 3%"
259,"Polyester 60%, Polyamide 35%, Wool 5%"
260,"Cotton 93%, Polyester 6%, Elastane 1%"
261,Viscose 100%
262,"Lining: Polyester 100% Shell: Polyester 96%, Elastane 4%"
263,Sole: Thermoplastic rubber 100% Lining and insole: Cotton 100% Upper: Polyurethane 100%
264,Lining: Cotton 100% Shell: Cotton 100%
265,Viscose 100%
266,"Cotton 58%, Polyester 37%, Elastane 5% Gusset lining: Cotton 100% Cotton 95%, Elastane 5% Polyamide 81%, Elastane 19% Lace: Polyamide 87%, Elastane 13%"
267,Polyester 100%
268,"Polyamide 83%, Elastane 17%"
269,Viscose 100%
270,"Polyester 97%, Elastane 3%"
271,Lining: Polyester 100% Shell: Polyester 100%
272,Shell: Polyester 100% Lining: Polyester 100%
273,Cotton 100%
274,"Viscose 91%, Elastane 9%"
275,"Lining: Polyester 100% Shell: Polyester 90%, Wool 10%"
276,Polyester 100%
277,"Viscose 76%, Polyester 18%, Polyamide 6%"
278,"Lining: Polyester 88%, Elastane 12% Cup lining: Polyester 100% Shell: Polyamide 87%, Elastane 13%"
279,"Cotton 50%, Modal 50%"
280,Viscose 100%
281,"Polyester 61%, Viscose 32%, Elastane 7%"
282,"Polyester 61%, Viscose 32%, Elastane 7%"
283,"Cotton 91%, Polyamide 9%"
284,"Cotton 58%, Polyester 39%, Elastane 3%"
285,"Cotton 55%, Polyester 40%, Elastane 5%"
